year,month,crop_name,region,inflation_index,price_per_kg,lag_1m,lag_3m,lag_6m,lag_12m,rolling_3m_avg
2016,9,Barley (mixed),Addis Ababa,0.3319,17.33,19.0,19.39,17.49,15.8,19.14
2016,10,Barley (mixed),Addis Ababa,0.3338,15.83,17.33,19.03,18.38,13.49,18.45
2016,11,Barley (mixed),Addis Ababa,0.3358,14.82,15.83,19.0,19.7,13.47,17.39
2016,12,Barley (mixed),Addis Ababa,0.3378,15.84,14.82,17.33,19.39,13.78,15.99
2017,1,Barley (mixed),Addis Ababa,0.3404,16.85,15.84,15.83,19.03,16.51,15.5
2017,2,Barley (mixed),Addis Ababa,0.3431,17.02,16.85,14.82,19.0,17.35,15.84
2017,3,Barley (mixed),Addis Ababa,0.3458,18.76,17.02,15.84,17.33,17.49,16.57
2017,4,Barley (mixed),Addis Ababa,0.3486,18.8,18.76,16.85,15.83,18.38,17.54
2017,5,Barley (mixed),Addis Ababa,0.3513,20.39,18.8,17.02,14.82,19.7,18.19
2017,6,Barley (mixed),Addis Ababa,0.3541,19.49,20.39,18.76,15.84,19.39,19.32
2017,7,Barley (mixed),Addis Ababa,0.3569,18.54,19.49,18.8,16.85,19.03,19.56
2017,8,Barley (mixed),Addis Ababa,0.3597,18.23,18.54,20.39,17.02,19.0,19.47
2017,9,Barley (mixed),Addis Ababa,0.3626,17.89,18.23,19.49,18.76,17.33,18.75
2017,10,Barley (mixed),Addis Ababa,0.3654,15.81,17.89,18.54,18.8,15.83,18.22
2017,11,Barley (mixed),Addis Ababa,0.3683,15.1,15.81,18.23,20.39,14.82,17.31
2017,12,Barley (mixed),Addis Ababa,0.3712,16.23,15.1,17.89,19.49,15.84,16.27
2018,1,Barley (mixed),Addis Ababa,0.3752,19.87,16.23,15.81,18.54,16.85,15.71
2018,2,Barley (mixed),Addis Ababa,0.3793,20.76,19.87,15.1,18.23,17.02,17.07
2018,3,Barley (mixed),Addis Ababa,0.3834,21.42,20.76,16.23,17.89,18.76,18.95
2018,4,Barley (mixed),Addis Ababa,0.3876,22.61,21.42,19.87,15.81,18.8,20.68
2018,5,Barley (mixed),Addis Ababa,0.3918,22.96,22.61,20.76,15.1,20.39,21.6
2018,6,Barley (mixed),Addis Ababa,0.396,21.34,22.96,21.42,16.23,19.49,22.33
2018,7,Barley (mixed),Addis Ababa,0.4003,20.65,21.34,22.61,19.87,18.54,22.3
2018,8,Barley (mixed),Addis Ababa,0.4046,21.12,20.65,22.96,20.76,18.23,21.65
2018,9,Barley (mixed),Addis Ababa,0.409,20.49,21.12,21.34,21.42,17.89,21.04
2018,10,Barley (mixed),Addis Ababa,0.4134,17.82,20.49,20.65,22.61,15.81,20.75
2018,11,Barley (mixed),Addis Ababa,0.4179,17.58,17.82,21.12,22.96,15.1,19.81
2018,12,Barley (mixed),Addis Ababa,0.4224,18.49,17.58,20.49,21.34,16.23,18.63
2019,1,Barley (mixed),Addis Ababa,0.4276,21.96,18.49,17.82,20.65,19.87,17.96
2019,2,Barley (mixed),Addis Ababa,0.4329,23.23,21.96,17.58,21.12,20.76,19.34
2019,3,Barley (mixed),Addis Ababa,0.4382,24.62,23.23,18.49,20.49,21.42,21.23
2019,4,Barley (mixed),Addis Ababa,0.4436,24.94,24.62,21.96,17.82,22.61,23.27
2019,5,Barley (mixed),Addis Ababa,0.4491,26.56,24.94,23.23,17.58,22.96,24.26
2019,6,Barley (mixed),Addis Ababa,0.4546,25.24,26.56,24.62,18.49,21.34,25.37
2019,7,Barley (mixed),Addis Ababa,0.4602,25.76,25.24,24.94,21.96,20.65,25.58
2019,8,Barley (mixed),Addis Ababa,0.4658,23.9,25.76,26.56,23.23,21.12,25.85
2019,9,Barley (mixed),Addis Ababa,0.4716,23.55,23.9,25.24,24.62,20.49,24.97
2019,10,Barley (mixed),Addis Ababa,0.4774,21.16,23.55,25.76,24.94,17.82,24.4
2019,11,Barley (mixed),Addis Ababa,0.4832,20.26,21.16,23.9,26.56,17.58,22.87
2019,12,Barley (mixed),Addis Ababa,0.4892,21.22,20.26,23.55,25.24,18.49,21.66
2020,1,Barley (mixed),Addis Ababa,0.4968,25.9,21.22,21.16,25.76,21.96,20.88
2020,2,Barley (mixed),Addis Ababa,0.5046,27.34,25.9,20.26,23.9,23.23,22.46
2020,3,Barley (mixed),Addis Ababa,0.5124,29.75,27.34,21.22,23.55,24.62,24.82
2020,4,Barley (mixed),Addis Ababa,0.5204,33.58,29.75,25.9,21.16,24.94,27.66
2020,5,Barley (mixed),Addis Ababa,0.5285,34.53,33.58,27.34,20.26,26.56,30.22
2020,6,Barley (mixed),Addis Ababa,0.5368,33.56,34.53,29.75,21.22,25.24,32.62
2020,7,Barley (mixed),Addis Ababa,0.5451,32.02,33.56,33.58,25.9,25.76,33.89
2020,8,Barley (mixed),Addis Ababa,0.5536,31.54,32.02,34.53,27.34,23.9,33.37
2020,9,Barley (mixed),Addis Ababa,0.5623,31.08,31.54,33.56,29.75,23.55,32.37
2020,10,Barley (mixed),Addis Ababa,0.571,25.08,31.08,32.02,33.58,21.16,31.55
2020,11,Barley (mixed),Addis Ababa,0.5799,23.9,25.08,31.54,34.53,20.26,29.23
2020,12,Barley (mixed),Addis Ababa,0.589,25.44,23.9,31.08,33.56,21.22,26.69
2021,1,Barley (mixed),Addis Ababa,0.6008,31.86,25.44,25.08,32.02,25.9,24.81
2021,2,Barley (mixed),Addis Ababa,0.6128,33.25,31.86,23.9,31.54,27.34,27.07
2021,3,Barley (mixed),Addis Ababa,0.625,35.36,33.25,25.44,31.08,29.75,30.18
2021,4,Barley (mixed),Addis Ababa,0.6375,35.45,35.36,31.86,25.08,33.58,33.49
2021,5,Barley (mixed),Addis Ababa,0.6502,37.07,35.45,33.25,23.9,34.53,34.69
2021,6,Barley (mixed),Addis Ababa,0.6632,37.05,37.07,35.36,25.44,33.56,35.96
2021,7,Barley (mixed),Addis Ababa,0.6765,35.8,37.05,35.45,31.86,32.02,36.52
2021,8,Barley (mixed),Addis Ababa,0.69,35.98,35.8,37.07,33.25,31.54,36.64
2021,9,Barley (mixed),Addis Ababa,0.7038,36.27,35.98,37.05,35.36,31.08,36.28
2021,10,Barley (mixed),Addis Ababa,0.7178,32.36,36.27,35.8,35.45,25.08,36.02
2021,11,Barley (mixed),Addis Ababa,0.7322,31.05,32.36,35.98,37.07,23.9,34.87
2021,12,Barley (mixed),Addis Ababa,0.7468,32.25,31.05,36.27,37.05,25.44,33.23
2022,1,Barley (mixed),Addis Ababa,0.7652,38.83,32.25,32.36,35.8,31.86,31.89
2022,2,Barley (mixed),Addis Ababa,0.7841,42.93,38.83,31.05,35.98,33.25,34.04
2022,3,Barley (mixed),Addis Ababa,0.8034,48.92,42.93,32.25,36.27,35.36,38.0
2022,4,Barley (mixed),Addis Ababa,0.8232,51.5,48.92,38.83,32.36,35.45,43.56
2022,5,Barley (mixed),Addis Ababa,0.8434,52.71,51.5,42.93,31.05,37.07,47.78
2022,6,Barley (mixed),Addis Ababa,0.8642,53.51,52.71,48.92,32.25,37.05,51.04
2022,7,Barley (mixed),Addis Ababa,0.8855,52.0,53.51,51.5,38.83,35.8,52.57
2022,8,Barley (mixed),Addis Ababa,0.9073,52.14,52.0,52.71,42.93,35.98,52.74
2022,9,Barley (mixed),Addis Ababa,0.9296,49.31,52.14,53.51,48.92,36.27,52.55
2022,10,Barley (mixed),Addis Ababa,0.9525,46.07,49.31,52.0,51.5,32.36,51.15
2022,11,Barley (mixed),Addis Ababa,0.976,45.29,46.07,52.14,52.71,31.05,49.17
2022,12,Barley (mixed),Addis Ababa,1.0,46.48,45.29,49.31,53.51,32.25,46.89
2023,1,Barley (mixed),Addis Ababa,1.0222,53.93,46.48,46.07,52.0,38.83,45.95
2023,2,Barley (mixed),Addis Ababa,1.045,56.25,53.93,45.29,52.14,42.93,48.57
2023,3,Barley (mixed),Addis Ababa,1.0682,60.24,56.25,46.48,49.31,48.92,52.22
2023,4,Barley (mixed),Addis Ababa,1.092,61.78,60.24,53.93,46.07,51.5,56.81
2023,5,Barley (mixed),Addis Ababa,1.1162,65.05,61.78,56.25,45.29,52.71,59.42
2023,6,Barley (mixed),Addis Ababa,1.1411,62.52,65.05,60.24,46.48,53.51,62.36
2023,7,Barley (mixed),Addis Ababa,1.1664,62.98,62.52,61.78,53.93,52.0,63.12
2023,8,Barley (mixed),Addis Ababa,1.1924,62.32,62.98,65.05,56.25,52.14,63.52
2023,9,Barley (mixed),Addis Ababa,1.2189,60.28,62.32,62.52,60.24,49.31,62.61
2023,10,Barley (mixed),Addis Ababa,1.246,54.7,60.28,62.98,61.78,46.07,61.86
2023,11,Barley (mixed),Addis Ababa,1.2737,56.03,54.7,62.32,65.05,45.29,59.1
2023,12,Barley (mixed),Addis Ababa,1.302,56.45,56.03,60.28,62.52,46.48,57.0
2024,1,Barley (mixed),Addis Ababa,1.3173,69.26,56.45,54.7,62.98,53.93,55.73
2024,2,Barley (mixed),Addis Ababa,1.3327,76.23,69.26,56.03,62.32,56.25,60.58
2024,3,Barley (mixed),Addis Ababa,1.3483,78.19,76.23,56.45,60.28,60.24,67.31
2024,4,Barley (mixed),Addis Ababa,1.3641,76.39,78.19,69.26,54.7,61.78,74.56
2024,5,Barley (mixed),Addis Ababa,1.3801,80.43,76.39,76.23,56.03,65.05,76.94
2024,6,Barley (mixed),Addis Ababa,1.3962,77.25,80.43,78.19,56.45,62.52,78.34
2024,7,Barley (mixed),Addis Ababa,1.4126,74.8,77.25,76.39,69.26,62.98,78.02
2024,8,Barley (mixed),Addis Ababa,1.4291,73.55,74.8,80.43,76.23,62.32,77.49
2024,9,Barley (mixed),Addis Ababa,1.4459,67.97,73.55,77.25,78.19,60.28,75.2
2024,10,Barley (mixed),Addis Ababa,1.4628,65.11,67.97,74.8,76.39,54.7,72.11
2024,11,Barley (mixed),Addis Ababa,1.48,61.58,65.11,73.55,80.43,56.03,68.88
2024,12,Barley (mixed),Addis Ababa,1.4973,64.14,61.58,67.97,77.25,56.45,64.89
2015,1,Barley (mixed),Afar,0.2882,14.83,,,,,
2015,2,Barley (mixed),Afar,0.2905,15.87,14.83,,,,14.83
2015,3,Barley (mixed),Afar,0.2929,16.98,15.87,,,,15.35
2015,4,Barley (mixed),Afar,0.2952,17.41,16.98,14.83,,,15.89
2015,5,Barley (mixed),Afar,0.2976,18.45,17.41,15.87,,,16.75
2015,6,Barley (mixed),Afar,0.3,17.17,18.45,16.98,,,17.61
2015,7,Barley (mixed),Afar,0.3024,16.52,17.17,17.41,14.83,,17.68
2015,8,Barley (mixed),Afar,0.3049,16.55,16.52,18.45,15.87,,17.38
2015,9,Barley (mixed),Afar,0.3073,18.17,16.55,17.17,16.98,,16.75
2015,10,Barley (mixed),Afar,0.3098,15.96,18.17,16.52,17.41,,17.08
2015,11,Barley (mixed),Afar,0.3123,15.72,15.96,16.55,18.45,,16.89
2015,12,Barley (mixed),Afar,0.3148,15.94,15.72,18.17,17.17,,16.62
2016,1,Barley (mixed),Afar,0.3166,20.4,15.94,15.96,16.52,14.83,15.87
2016,2,Barley (mixed),Afar,0.3185,21.55,20.4,15.72,16.55,15.87,17.35
2016,3,Barley (mixed),Afar,0.3204,22.79,21.55,15.94,18.17,16.98,19.3
2016,4,Barley (mixed),Afar,0.3223,22.38,22.79,20.4,15.96,17.41,21.58
2016,5,Barley (mixed),Afar,0.3242,23.67,22.38,21.55,15.72,18.45,22.24
2016,6,Barley (mixed),Afar,0.3261,21.23,23.67,22.79,15.94,17.17,22.95
2016,7,Barley (mixed),Afar,0.328,18.81,21.23,22.38,20.4,16.52,22.43
2016,8,Barley (mixed),Afar,0.3299,18.73,18.81,23.67,21.55,16.55,21.24
2016,9,Barley (mixed),Afar,0.3319,17.81,18.73,21.23,22.79,18.17,19.59
2016,10,Barley (mixed),Afar,0.3338,16.43,17.81,18.81,22.38,15.96,18.45
2016,11,Barley (mixed),Afar,0.3358,15.39,16.43,18.73,23.67,15.72,17.66
2016,12,Barley (mixed),Afar,0.3378,16.36,15.39,17.81,21.23,15.94,16.54
2017,1,Barley (mixed),Afar,0.3404,17.8,16.36,16.43,18.81,20.4,16.06
2017,2,Barley (mixed),Afar,0.3431,18.22,17.8,15.39,18.73,21.55,16.52
2017,3,Barley (mixed),Afar,0.3458,18.86,18.22,16.36,17.81,22.79,17.46
2017,4,Barley (mixed),Afar,0.3486,19.81,18.86,17.8,16.43,22.38,18.29
2017,5,Barley (mixed),Afar,0.3513,21.23,19.81,18.22,15.39,23.67,18.96
2017,6,Barley (mixed),Afar,0.3541,20.57,21.23,18.86,16.36,21.23,19.97
2017,7,Barley (mixed),Afar,0.3569,19.78,20.57,19.81,17.8,18.81,20.54
2017,8,Barley (mixed),Afar,0.3597,19.32,19.78,21.23,18.22,18.73,20.53
2017,9,Barley (mixed),Afar,0.3626,18.31,19.32,20.57,18.86,17.81,19.89
2017,10,Barley (mixed),Afar,0.3654,16.52,18.31,19.78,19.81,16.43,19.14
2017,11,Barley (mixed),Afar,0.3683,15.69,16.52,19.32,21.23,15.39,18.05
2017,12,Barley (mixed),Afar,0.3712,16.34,15.69,18.31,20.57,16.36,16.84
2018,1,Barley (mixed),Afar,0.3752,20.66,16.34,16.52,19.78,17.8,16.18
2018,2,Barley (mixed),Afar,0.3793,21.16,20.66,15.69,19.32,18.22,17.56
2018,3,Barley (mixed),Afar,0.3834,22.1,21.16,16.34,18.31,18.86,19.39
2018,4,Barley (mixed),Afar,0.3876,23.56,22.1,20.66,16.52,19.81,21.31
2018,5,Barley (mixed),Afar,0.3918,23.72,23.56,21.16,15.69,21.23,22.27
2018,6,Barley (mixed),Afar,0.396,23.41,23.72,22.1,16.34,20.57,23.13
2018,7,Barley (mixed),Afar,0.4003,22.41,23.41,23.56,20.66,19.78,23.56
2018,8,Barley (mixed),Afar,0.4046,22.45,22.41,23.72,21.16,19.32,23.18
2018,9,Barley (mixed),Afar,0.409,20.96,22.45,23.41,22.1,18.31,22.76
2018,10,Barley (mixed),Afar,0.4134,18.92,20.96,22.41,23.56,16.52,21.94
2018,11,Barley (mixed),Afar,0.4179,18.12,18.92,22.45,23.72,15.69,20.78
2018,12,Barley (mixed),Afar,0.4224,18.46,18.12,20.96,23.41,16.34,19.33
2019,1,Barley (mixed),Afar,0.4276,23.2,18.46,18.92,22.41,20.66,18.5
2019,2,Barley (mixed),Afar,0.4329,25.44,23.2,18.12,22.45,21.16,19.93
2019,3,Barley (mixed),Afar,0.4382,24.81,25.44,18.46,20.96,22.1,22.37
2019,4,Barley (mixed),Afar,0.4436,25.49,24.81,23.2,18.92,23.56,24.48
2019,5,Barley (mixed),Afar,0.4491,27.03,25.49,25.44,18.12,23.72,25.25
2019,6,Barley (mixed),Afar,0.4546,25.14,27.03,24.81,18.46,23.41,25.78
2019,7,Barley (mixed),Afar,0.4602,24.53,25.14,25.49,23.2,22.41,25.89
2019,8,Barley (mixed),Afar,0.4658,25.24,24.53,27.03,25.44,22.45,25.57
2019,9,Barley (mixed),Afar,0.4716,23.95,25.24,25.14,24.81,20.96,24.97
2019,10,Barley (mixed),Afar,0.4774,21.34,23.95,24.53,25.49,18.92,24.57
2019,11,Barley (mixed),Afar,0.4832,20.99,21.34,25.24,27.03,18.12,23.51
2019,12,Barley (mixed),Afar,0.4892,22.19,20.99,23.95,25.14,18.46,22.09
2020,1,Barley (mixed),Afar,0.4968,27.31,22.19,21.34,24.53,23.2,21.51
2020,2,Barley (mixed),Afar,0.5046,28.42,27.31,20.99,25.24,25.44,23.5
2020,3,Barley (mixed),Afar,0.5124,30.41,28.42,22.19,23.95,24.81,25.97
2020,4,Barley (mixed),Afar,0.5204,34.69,30.41,27.31,21.34,25.49,28.71
2020,5,Barley (mixed),Afar,0.5285,37.02,34.69,28.42,20.99,27.03,31.17
2020,6,Barley (mixed),Afar,0.5368,34.05,37.02,30.41,22.19,25.14,34.04
2020,7,Barley (mixed),Afar,0.5451,32.64,34.05,34.69,27.31,24.53,35.25
2020,8,Barley (mixed),Afar,0.5536,32.38,32.64,37.02,28.42,25.24,34.57
2020,9,Barley (mixed),Afar,0.5623,31.15,32.38,34.05,30.41,23.95,33.02
2020,10,Barley (mixed),Afar,0.571,26.21,31.15,32.64,34.69,21.34,32.06
2020,11,Barley (mixed),Afar,0.5799,25.78,26.21,32.38,37.02,20.99,29.91
2020,12,Barley (mixed),Afar,0.589,26.06,25.78,31.15,34.05,22.19,27.71
2021,1,Barley (mixed),Afar,0.6008,32.81,26.06,26.21,32.64,27.31,26.02
2021,2,Barley (mixed),Afar,0.6128,33.74,32.81,25.78,32.38,28.42,28.22
2021,3,Barley (mixed),Afar,0.625,37.3,33.74,26.06,31.15,30.41,30.87
2021,4,Barley (mixed),Afar,0.6375,37.48,37.3,32.81,26.21,34.69,34.62
2021,5,Barley (mixed),Afar,0.6502,39.76,37.48,33.74,25.78,37.02,36.17
2021,6,Barley (mixed),Afar,0.6632,38.78,39.76,37.3,26.06,34.05,38.18
2021,7,Barley (mixed),Afar,0.6765,37.68,38.78,37.48,32.81,32.64,38.67
2021,8,Barley (mixed),Afar,0.69,37.24,37.68,39.76,33.74,32.38,38.74
2021,9,Barley (mixed),Afar,0.7038,34.56,37.24,38.78,37.3,31.15,37.9
2021,10,Barley (mixed),Afar,0.7178,32.75,34.56,37.68,37.48,26.21,36.49
2021,11,Barley (mixed),Afar,0.7322,33.4,32.75,37.24,39.76,25.78,34.85
2021,12,Barley (mixed),Afar,0.7468,32.88,33.4,34.56,38.78,26.06,33.57
2022,1,Barley (mixed),Afar,0.7652,40.01,32.88,32.75,37.68,32.81,33.01
2022,2,Barley (mixed),Afar,0.7841,43.37,40.01,33.4,37.24,33.74,35.43
2022,3,Barley (mixed),Afar,0.8034,48.6,43.37,32.88,34.56,37.3,38.75
2022,4,Barley (mixed),Afar,0.8232,51.06,48.6,40.01,32.75,37.48,43.99
2022,5,Barley (mixed),Afar,0.8434,55.18,51.06,43.37,33.4,39.76,47.68
2022,6,Barley (mixed),Afar,0.8642,52.09,55.18,48.6,32.88,38.78,51.61
2022,7,Barley (mixed),Afar,0.8855,53.12,52.09,51.06,40.01,37.68,52.78
2022,8,Barley (mixed),Afar,0.9073,50.81,53.12,55.18,43.37,37.24,53.46
2022,9,Barley (mixed),Afar,0.9296,51.46,50.81,52.09,48.6,34.56,52.01
2022,10,Barley (mixed),Afar,0.9525,44.94,51.46,53.12,51.06,32.75,51.8
2022,11,Barley (mixed),Afar,0.976,44.33,44.94,50.81,55.18,33.4,49.07
2022,12,Barley (mixed),Afar,1.0,47.31,44.33,51.46,52.09,32.88,46.91
2023,1,Barley (mixed),Afar,1.0222,59.08,47.31,44.94,53.12,40.01,45.53
2023,2,Barley (mixed),Afar,1.045,64.03,59.08,44.33,50.81,43.37,50.24
2023,3,Barley (mixed),Afar,1.0682,66.69,64.03,47.31,51.46,48.6,56.81
2023,4,Barley (mixed),Afar,1.092,71.64,66.69,59.08,44.94,51.06,63.27
2023,5,Barley (mixed),Afar,1.1162,75.71,71.64,64.03,44.33,55.18,67.45
2023,6,Barley (mixed),Afar,1.1411,71.19,75.71,66.69,47.31,52.09,71.35
2023,7,Barley (mixed),Afar,1.1664,73.48,71.19,71.64,59.08,53.12,72.85
2023,8,Barley (mixed),Afar,1.1924,70.73,73.48,75.71,64.03,50.81,73.46
2023,9,Barley (mixed),Afar,1.2189,70.74,70.73,71.19,66.69,51.46,71.8
2023,10,Barley (mixed),Afar,1.246,59.88,70.74,73.48,71.64,44.94,71.65
2023,11,Barley (mixed),Afar,1.2737,59.81,59.88,70.73,75.71,44.33,67.12
2023,12,Barley (mixed),Afar,1.302,64.23,59.81,70.74,71.19,47.31,63.48
2024,1,Barley (mixed),Afar,1.3173,71.38,64.23,59.88,73.48,59.08,61.31
2024,2,Barley (mixed),Afar,1.3327,72.91,71.38,59.81,70.73,64.03,65.14
2024,3,Barley (mixed),Afar,1.3483,79.46,72.91,64.23,70.74,66.69,69.51
2024,4,Barley (mixed),Afar,1.3641,77.41,79.46,71.38,59.88,71.64,74.58
2024,5,Barley (mixed),Afar,1.3801,82.57,77.41,72.91,59.81,75.71,76.59
2024,6,Barley (mixed),Afar,1.3962,80.78,82.57,79.46,64.23,71.19,79.81
2024,7,Barley (mixed),Afar,1.4126,77.57,80.78,77.41,71.38,73.48,80.25
2024,8,Barley (mixed),Afar,1.4291,75.93,77.57,82.57,72.91,70.73,80.31
2024,9,Barley (mixed),Afar,1.4459,74.12,75.93,80.78,79.46,70.74,78.09
2024,10,Barley (mixed),Afar,1.4628,63.33,74.12,77.57,77.41,59.88,75.87
2024,11,Barley (mixed),Afar,1.48,63.17,63.33,75.93,82.57,59.81,71.13
2024,12,Barley (mixed),Afar,1.4973,68.77,63.17,74.12,80.78,64.23,66.87
2015,1,Barley (mixed),Amhara,0.2882,13.39,,,,,
2015,2,Barley (mixed),Amhara,0.2905,13.44,13.39,,,,13.39
2015,3,Barley (mixed),Amhara,0.2929,14.65,13.44,,,,13.42
2015,4,Barley (mixed),Amhara,0.2952,15.0,14.65,13.39,,,13.83
2015,5,Barley (mixed),Amhara,0.2976,14.47,15.0,13.44,,,14.36
2015,6,Barley (mixed),Amhara,0.3,14.43,14.47,14.65,,,14.71
2015,7,Barley (mixed),Amhara,0.3024,14.0,14.43,15.0,13.39,,14.63
2015,8,Barley (mixed),Amhara,0.3049,13.31,14.0,14.47,13.44,,14.3
2015,9,Barley (mixed),Amhara,0.3073,13.13,13.31,14.43,14.65,,13.91
2015,10,Barley (mixed),Amhara,0.3098,11.4,13.13,14.0,15.0,,13.48
2015,11,Barley (mixed),Amhara,0.3123,11.11,11.4,13.31,14.47,,12.61
2015,12,Barley (mixed),Amhara,0.3148,11.86,11.11,13.13,14.43,,11.88
2016,1,Barley (mixed),Amhara,0.3166,13.82,11.86,11.4,14.0,13.39,11.46
2016,2,Barley (mixed),Amhara,0.3185,15.07,13.82,11.11,13.31,13.44,12.26
2016,3,Barley (mixed),Amhara,0.3204,15.77,15.07,11.86,13.13,14.65,13.58
2016,4,Barley (mixed),Amhara,0.3223,16.3,15.77,13.82,11.4,15.0,14.89
2016,5,Barley (mixed),Amhara,0.3242,16.17,16.3,15.07,11.11,14.47,15.71
2016,6,Barley (mixed),Amhara,0.3261,15.5,16.17,15.77,11.86,14.43,16.08
2016,7,Barley (mixed),Amhara,0.328,16.63,15.5,16.3,13.82,14.0,15.99
2016,8,Barley (mixed),Amhara,0.3299,15.86,16.63,16.17,15.07,13.31,16.1
2016,9,Barley (mixed),Amhara,0.3319,15.16,15.86,15.5,15.77,13.13,16.0
2016,10,Barley (mixed),Amhara,0.3338,13.28,15.16,16.63,16.3,11.4,15.88
2016,11,Barley (mixed),Amhara,0.3358,13.17,13.28,15.86,16.17,11.11,14.77
2016,12,Barley (mixed),Amhara,0.3378,13.24,13.17,15.16,15.5,11.86,13.87
2017,1,Barley (mixed),Amhara,0.3404,14.12,13.24,13.28,16.63,13.82,13.23
2017,2,Barley (mixed),Amhara,0.3431,15.49,14.12,13.17,15.86,15.07,13.51
2017,3,Barley (mixed),Amhara,0.3458,15.76,15.49,13.24,15.16,15.77,14.28
2017,4,Barley (mixed),Amhara,0.3486,16.39,15.76,14.12,13.28,16.3,15.12
2017,5,Barley (mixed),Amhara,0.3513,17.16,16.39,15.49,13.17,16.17,15.88
2017,6,Barley (mixed),Amhara,0.3541,17.29,17.16,15.76,13.24,15.5,16.44
2017,7,Barley (mixed),Amhara,0.3569,16.44,17.29,16.39,14.12,16.63,16.95
2017,8,Barley (mixed),Amhara,0.3597,15.79,16.44,17.16,15.49,15.86,16.96
2017,9,Barley (mixed),Amhara,0.3626,15.63,15.79,17.29,15.76,15.16,16.51
2017,10,Barley (mixed),Amhara,0.3654,13.68,15.63,16.44,16.39,13.28,15.95
2017,11,Barley (mixed),Amhara,0.3683,13.58,13.68,15.79,17.16,13.17,15.03
2017,12,Barley (mixed),Amhara,0.3712,13.58,13.58,15.63,17.29,13.24,14.3
2018,1,Barley (mixed),Amhara,0.3752,17.15,13.58,13.68,16.44,14.12,13.61
2018,2,Barley (mixed),Amhara,0.3793,18.03,17.15,13.58,15.79,15.49,14.77
2018,3,Barley (mixed),Amhara,0.3834,19.05,18.03,13.58,15.63,15.76,16.25
2018,4,Barley (mixed),Amhara,0.3876,18.81,19.05,17.15,13.68,16.39,18.08
2018,5,Barley (mixed),Amhara,0.3918,20.36,18.81,18.03,13.58,17.16,18.63
2018,6,Barley (mixed),Amhara,0.396,18.9,20.36,19.05,13.58,17.29,19.41
2018,7,Barley (mixed),Amhara,0.4003,18.11,18.9,18.81,17.15,16.44,19.36
2018,8,Barley (mixed),Amhara,0.4046,18.61,18.11,20.36,18.03,15.79,19.12
2018,9,Barley (mixed),Amhara,0.409,17.78,18.61,18.9,19.05,15.63,18.54
2018,10,Barley (mixed),Amhara,0.4134,15.41,17.78,18.11,18.81,13.68,18.17
2018,11,Barley (mixed),Amhara,0.4179,15.8,15.41,18.61,20.36,13.58,17.27
2018,12,Barley (mixed),Amhara,0.4224,15.76,15.8,17.78,18.9,13.58,16.33
2019,1,Barley (mixed),Amhara,0.4276,17.98,15.76,15.41,18.11,17.15,15.66
2019,2,Barley (mixed),Amhara,0.4329,20.49,17.98,15.8,18.61,18.03,16.51
2019,3,Barley (mixed),Amhara,0.4382,21.29,20.49,15.76,17.78,19.05,18.08
2019,4,Barley (mixed),Amhara,0.4436,22.48,21.29,17.98,15.41,18.81,19.92
2019,5,Barley (mixed),Amhara,0.4491,22.92,22.48,20.49,15.8,20.36,21.42
2019,6,Barley (mixed),Amhara,0.4546,21.8,22.92,21.29,15.76,18.9,22.23
2019,7,Barley (mixed),Amhara,0.4602,21.62,21.8,22.48,17.98,18.11,22.4
